,acd05,acd04,acd01,acd02,acd06,acd03
atoned,2.0,1e-10,1e-10,1e-10,1e-10,1e-10
atonement,1.0,1e-10,1e-10,1e-10,1.0,1e-10
atrocious,1.0,1e-10,1e-10,3.0,1e-10,1.0
attached,3.0,3.0,3.0,4.0,1e-10,1e-10
attachment,1.0,1e-10,1e-10,2.0,1e-10,1e-10
attack,18.0,7.0,1.0,1e-10,7.0,1.0
attacked,2.0,1e-10,1e-10,2.0,1e-10,1.0
attacks,1.0,1.0,1e-10,1.0,1.0,1.0
attempt,2.0,6.0,4.0,2.0,20.0,1.0
attempted,3.0,1.0,2.0,1e-10,4.0,1.0
attempts,1.0,1e-10,1.0,1.0,3.0,1e-10
attend,2.0,1.0,1.0,1.0,3.0,1e-10
attendance,1.0,1.0,1.0,1e-10,1.0,1e-10
attendant,5.0,5.0,1.0,3.0,1e-10,1e-10
attendants,2.0,1.0,1e-10,1e-10,1.0,1e-10
attended,1.0,1e-10,1.0,2.0,3.0,1e-10
attending,1.0,1e-10,1e-10,1e-10,1.0,1e-10
attention,11.0,7.0,4.0,8.0,22.0,1e-10
attire,2.0,4.0,1e-10,1.0,7.0,1.0
attired,1.0,1.0,1e-10,1e-10,1.0,1e-10
attitude,3.0,1e-10,1.0,2.0,3.0,1e-10
attracted,3.0,2.0,1e-10,1.0,8.0,1e-10
attraction,2.0,1e-10,1e-10,1e-10,1e-10,1e-10
attractive,2.0,1e-10,1.0,1e-10,2.0,2.0
auberge,1.0,4.0,1e-10,1e-10,1e-10,1e-10
aubert,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
aubigny,3.0,1e-10,1e-10,1e-10,1e-10,1e-10
auburn,2.0,1e-10,1e-10,1e-10,1e-10,1e-10
audacity,2.0,1e-10,1e-10,2.0,1e-10,1e-10
