,filenames,binids
218,tc0178§0016,1
219,tc0164§0029,3
220,tc0174§0030,3
221,tc0189§0011,1
222,tc0189§0034,3
223,tc0189§0041,4
224,tc0146§0011,1
225,tc0150§0014,1
226,tc0147§0025,2
227,tc0155§0011,1
228,tc0168§0006,0
229,tc0168§0004,0
230,tc0160§0015,1
231,tc0158§0010,1
232,tc0143§0041,4
233,tc0189§0005,0
234,tc0168§0021,2
235,tc0160§0048,4
236,tc0176§0014,1
237,tc0188§0044,4
238,tc0148§0037,4
239,tc0134§0036,4
240,tc0179§0012,1
241,tc0155§0008,0
242,tc0176§0017,1
243,tc0155§0023,2
244,tc0180§0040,4
245,tc0164§0028,2
246,tc0174§0011,1
247,tc0155§0001,0
248,tc0187§0017,1
249,tc0174§0021,2
250,tc0180§0002,0
251,tc0146§0032,3
252,tc0158§0019,2
253,tc0167§0042,4
254,tc0162§0034,3
255,tc0160§0033,3
256,tc0148§0006,0
257,tc0176§0003,0
258,tc0191§0018,1
259,tc0153§0036,4
260,tc0188§0033,3
261,tc0180§0014,1
262,tc0152§0015,1
263,tc0160§0046,4
264,tc0162§0018,1
265,tc0167§0032,3
266,tc0150§0017,2
267,tc0168§0001,0
268,tc0167§0030,3
269,tc0143§0015,1
270,tc0146§0020,2
271,tc0187§0031,3
272,tc0164§0005,0
273,tc0155§0038,4
274,tc0160§0034,3
275,tc0131§0038,4
276,tc0187§0008,0
277,tc0134§0015,1
278,tc0191§0029,3
279,tc0167§0026,2
280,tc0150§0028,3
281,tc0130§0028,3
282,tc0176§0008,0
283,tc0158§0023,2
284,tc0191§0008,0
285,tc0143§0019,2
286,tc0155§0032,3
287,tc0132§0027,3
288,tc0158§0039,4
289,tc0154§0015,1
290,tc0162§0036,4
291,tc0130§0008,0
292,tc0143§0034,4
293,tc0132§0011,1
294,tc0153§0012,1
295,tc0130§0026,2
296,tc0152§0016,1
297,tc0160§0018,1
298,tc0167§0013,1
299,tc0131§0001,0
300,tc0147§0026,3
301,tc0154§0006,0
302,tc0155§0026,2
303,tc0134§0011,1
304,tc0130§0023,2
305,tc0162§0037,4
306,tc0174§0018,2
307,tc0188§0011,1
308,tc0143§0006,0
309,tc0162§0035,3
310,tc0188§0012,1
311,tc0148§0002,0
312,tc0187§0033,3
313,tc0132§0006,0
314,tc0154§0005,0
315,tc0131§0027,3
316,tc0146§0001,0
317,tc0191§0030,3
318,tc0174§0040,4
319,tc0187§0024,2
320,tc0188§0006,0
321,tc0153§0031,3
